contract_address,proxy,implementation,compiler_version,compiler_type,language,n_files,saved_dir,status,error,sourcecode_len,sourcecode_peek
0xa0a9215aec00c684cdbf46874d39338a6a0fd937,False,,v0.5.11+commit.c082d0b4,solc-m,,3,debug_fetch_bulk/0xa0a9215aec00c684cdbf46874d39338a6a0fd937,ok,,57436,"{""AssetSwap.sol"":{""content"":""pragma solidity ^0.5.11;\r\n\r\nimport \""./Book.sol\"";\r\nimport \""./Oracle.sol\"";\r\n\r\ncontract AssetSwap {\r\n\r\n    /** Sets up a new SwapMarket contract\r\n    * Th… (truncated)"
0xdffce99ae598d85a719a94809a7ff5dd31875c4b,False,,v0.8.18+commit.87f61d96,solc-m,,8,debug_fetch_bulk/0xdffce99ae598d85a719a94809a7ff5dd31875c4b,ok,,19765,"{""dsrAaveLoop.sol"":{""content"":""// SPDX-License-Identifier: BSL-1.1\n// Business Source License 1.1\n\n// License text copyright (c) 2017 MariaDB Corporation Ab, All Rights Reserved.\n// \""Business Sou… (truncated)"
0x618abd8ec016d219af645020b0ad59d590d7f5df,False,,v0.8.22+commit.4fc1097e,solc-m,,2,debug_fetch_bulk/0x618abd8ec016d219af645020b0ad59d590d7f5df,ok,,10788,"{""Bakery.sol"":{""content"":""// SPDX-License-Identifier: MIT\npragma solidity ^0.8.19;\n\nimport \""./Token.sol\"";\n\ncontract Bakery {\n\n\tstruct Info {\n\t\tToken[] tokens;\n\t\tmapping(address =\u003e… (truncated)"
0x8f30ce8d9c60f40b930c5206befdac740e970c4b,False,,v0.6.12+commit.27d51765,solc-m,,10,debug_fetch_bulk/0x8f30ce8d9c60f40b930c5206befdac740e970c4b,ok,,33734,"{""Address.sol"":{""content"":""pragma solidity ^0.6.12;\n// SPDX-License-Identifier: Unlicensed\n\nlibrary Address {\n\tfunction isContract(address account) internal view returns (bool) {\n\t\t// Accordin… (truncated)"
0x88bd6efe33bc82860278c044efa33364c6285032,False,,v0.6.11+commit.5ef660b1,solc-m,,79,debug_fetch_bulk/0x88bd6efe33bc82860278c044efa33364c6285032,ok,,341425,"{""AccessControl.sol"":{""content"":""// SPDX-License-Identifier: MIT\n\npragma solidity ^0.6.0;\n\nimport \""./EnumerableSet.sol\"";\nimport \""./Address.sol\"";\nimport \""./Context.sol\"";\n\n/**\n * @dev Con… (truncated)"
0x7bf63323dca63b02ff3cc1c105dc9943eb340371,False,,v0.8.7+commit.e28d00a7,solc-m,,5,debug_fetch_bulk/0x7bf63323dca63b02ff3cc1c105dc9943eb340371,ok,,45580,"{""Context.sol"":{""content"":""// SPDX-License-Identifier: MIT\n// OpenZeppelin Contracts v4.4.1 (utils/Context.sol)\n\npragma solidity ^0.8.0;\n\n/**\n * @dev Provides information about the current execu… (truncated)"
0xcba420f0b43c32a1d49851f6356a37de6ee8e288,False,,v0.8.16+commit.07a7930e,solc-m,,4,debug_fetch_bulk/0xcba420f0b43c32a1d49851f6356a37de6ee8e288,ok,,54907,"{""Dependencies.sol"":{""content"":""// SPDX-License-Identifier: MIT\n\npragma solidity ^0.8.0;\n\n/**\n * @dev Interface of the ERC165 standard, as defined in the\n * https://eips.ethereum.org/EIPS/eip-16… (truncated)"
0x2210cd898651b51acdbd1289d5144283dbe269ce,False,,v0.8.7+commit.e28d00a7,solc-m,,15,debug_fetch_bulk/0x2210cd898651b51acdbd1289d5144283dbe269ce,ok,,62778,"{""Address.sol"":{""content"":""// SPDX-License-Identifier: MIT\r\n\r\npragma solidity ^0.8.0;\r\n\r\n/**\r\n * @dev Collection of functions related to the address type\r\n */\r\nlibrary Address {\r\n    /… (truncated)"
0x38a5cf926a0b9b5fe3a265c57d184ad8c0af05b6,False,,v0.4.18+commit.9cf6e910,solc-m,,14,debug_fetch_bulk/0x38a5cf926a0b9b5fe3a265c57d184ad8c0af05b6,ok,,43788,"{""ERC20Interface.sol"":{""content"":""pragma solidity 0.4.18;\n\n\n// https://github.com/ethereum/EIPs/issues/20\ninterface ERC20 {\n    function totalSupply() public view returns (uint supply);\n    func… (truncated)"
0x42526f7a2ae145e3c3707fd4962073ab51ec7d44,False,,v0.7.4+commit.3f05b770,solc-m,,51,debug_fetch_bulk/0x42526f7a2ae145e3c3707fd4962073ab51ec7d44,ok,,146406,"{""Address.sol"":{""content"":""// SPDX-License-Identifier: J-J-J-JENGA!!!\r\npragma solidity ^0.7.4;\r\n\r\n/**\r\n * @dev Collection of functions related to the address type\r\n */\r\nlibrary Address {\r… (truncated)"
