contract_id,patch_file,recompile_ok,recompile_message,used_version,n_sources,mode,elapsed_s
201804_BEC,BecToken_patch.sol,True,"Compiled OK (initial v0.4.19, mode=all_files)",0.4.19,2,all_files,0.165
201804_SmartMesh,SMT_patch.sol,True,"Compiled OK (initial v0.4.18, mode=all_files)",0.4.18,2,all_files,0.459
202008_Opyn,oToken_patch.sol,True,"Compiled OK (initial v0.5.10, mode=all_files)",0.5.10,2,all_files,0.051
202102_Yearn_ydai,yVault_patch.sol,True,"Compiled OK (initial v0.5.17, mode=all_files)",0.5.17,2,all_files,0.031
202109_Nimbus,NimbusPair_patch.sol,True,"Compiled OK (initial v0.8.0, mode=all_files)",0.8.0,2,all_files,0.042
202201_Anyswap,AnyswapV4Router_patch.sol,True,"Compiled OK (initial v0.8.1, mode=all_files)",0.8.1,2,all_files,0.045
202202_TecraSpace,TcrToken_patch.sol,True,"Compiled OK (initial v0.8.2, mode=all_files)",0.8.2,2,all_files,0.03
202206_InverseFinance,YVCrv3CryptoFeed_patch.sol,True,"Compiled OK (initial v0.8.13, mode=all_files)",0.8.13,2,all_files,0.018
202209_BadGuysbyRPF,Bad_Guys_by_RPF_patch.sol,True,"Compiled OK (initial v0.8.7, mode=all_files)",0.8.7,2,all_files,0.048
202210_N00d,SushiBar_patch.sol,True,"Compiled OK (initial v0.6.12, mode=all_files)",0.6.12,2,all_files,0.021
202210_Uerii,Uerii_patch.sol,True,"Compiled OK (initial v0.8.7, mode=all_files)",0.8.7,2,all_files,0.031
202212_JAY,JAY_patch.sol,True,"Compiled OK (initial v0.8.7, mode=all_files)",0.8.7,2,all_files,0.049
202301_QTN,QUATERNION_patch.sol,True,"Compiled OK (initial v0.6.12, mode=all_files)",0.6.12,2,all_files,0.033
202305_ERC20TokenBank,ExchangeBetweenPools_patch.sol,True,"Compiled OK (initial v0.5.10, mode=all_files)",0.5.10,2,all_files,0.013
202306_VINU,VINU_patch.sol,True,"Compiled OK (initial v0.8.17, mode=all_files)",0.8.17,2,all_files,0.033
202308_Uwerx,Uwerx_patch.sol,True,"Compiled OK (initial v0.8.17, mode=all_files)",0.8.17,2,all_files,0.04
202309_uniclyNFT,PointFarm_patch.sol,True,"Compiled OK (initial v0.6.12, mode=all_files)",0.6.12,2,all_files,0.066
202310_pSeudoEth,UniswapV2Pair_patch.sol,True,"Compiled OK (initial v0.5.16, mode=all_files)",0.5.16,2,all_files,0.041
202311_grok,grok_patch.sol,True,"Compiled OK (initial v0.8.20, mode=all_files)",0.8.20,2,all_files,0.034
202404_HoppyFrogERC,Hoppy_patch.sol,True,"Compiled OK (initial v0.8.23, mode=all_files)",0.8.23,2,all_files,0.028
202406_APEMAGA,Tonken_patch.sol,True,"Compiled OK (initial v0.8.26, mode=all_files)",0.8.26,2,all_files,0.03
202406_JokInTheBox,JokInTheBoxStaking_patch.sol,True,"Compiled OK (initial v0.8.25, mode=all_files)",0.8.25,2,all_files,0.033
202406_WIFCOIN_ETH,WIFStaking_patch.sol,True,"Compiled OK (initial v0.8.16, mode=all_files)",0.8.16,2,all_files,0.049
202408_OMPxContract,OMPxContract_patch.sol,True,"Compiled OK (initial v0.4.21, mode=all_files)",0.4.21,2,all_files,0.367
202409_Bedrock_DeFi,Vault_patch.sol,True,"Compiled OK (initial v0.8.17, mode=all_files)",0.8.17,2,all_files,0.082
202409_OnyxDAO,NFTLiquidation_patch.sol,True,"Compiled OK (initial v0.5.17, mode=all_files)",0.5.17,2,all_files,0.041
